wid,time,text,uid,username,following,followed,gender
4521962548429339,Wed Jul 01 19:35:48 +0800 2020,"鹅你以后会不会被写进教材里<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>",5863769350,宇宙第一帅的总攻大人,291,141,f
4521952226849035,Wed Jul 01 18:54:47 +0800 2020,"鹅，都在笑你呢，太过分了<span class=""url-icon""><img alt=[失望] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-7925938d93.png"" 
                style=""width:1em; height:1em;"" /></span>，哈哈哈哈唉哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈<span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" 
                style=""width:1em; height:1em;"" /></span>",5506571040,请不要怀疑5,253,238,f
4521955741283660,Wed Jul 01 19:08:45 +0800 2020,"老干妈：您这是要逼着我掏广告费啊。 腾讯：没有的意思<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" 
                style=""width:1em; height:1em;"" /></span> <span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-dd1c6d36cf.png"" 
                style=""width:1em; height:1em;"" /></span>",2733676175,七步维度,1433,447,f
4521943086278768,Wed Jul 01 18:18:28 +0800 2020,其实笑话你的还有<a href='/n/来去之间'>@来去之间</a>,6518219701,落笔似剑一墨写惊鸿,200,61,m
4521939697880097,Wed Jul 01 18:05:00 +0800 2020,"也请鹅子看看 <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%2372%E5%B2%81%E7%88%B7%E7%88%B7%E6%8B%96%E7%97%85%E8%BA%AF%E5%85%BB%E8%9C%82%E6%8C%A3%E9%92%B1%23&extparam=%2372%E5%B2%81%E7%88%B7%E7%88%B7%E6%8B%96%E7%97%85%E8%BA%AF%E5%85%BB%E8%9C%82%E6%8C%A3%E9%92%B1%23"" data-hide=""""><span class=""surl-text"">#72岁爷爷拖病躯养蜂挣钱#</span></a>，帮忙宣传一下公益，感谢",3118095825,星恒心衡,865,45,m
4521937895066859,Wed Jul 01 17:57:50 +0800 2020,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死，企鹅肉,5123231255,待醉桃,302,15870,f
4521968420148439,Wed Jul 01 19:59:07 +0800 2020,"今晚吃老干妈拌饭<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>",5113595441,夏勒·弗兹,181,6550,m
4521937949184552,Wed Jul 01 17:58:03 +0800 2020,"🐧真的好惨<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" 
                style=""width:1em; height:1em;"" /></span>",3764807527,满暮山河川,581,729,f
4521954167541835,Wed Jul 01 19:02:30 +0800 2020,今天是钮钴禄鹅变傻白甜的第一天,5362702425,世另我,99,24,f
4521951644079047,Wed Jul 01 18:52:28 +0800 2020,你平时让我们充钱的时候也没见你这么怂,2613206677,张先森希望世界和平,1775,12875,m
